,formula
0,"\Gamma ( z + 1 ) = \int _ { 0 } ^ { \infty } \, \, d x \, \, e ^ { - x } x ^ { z } ."
1,"Z = \sum _ { s p i n s } \prod _ { c u b e s } W ( a | e , f , g | b , c , d | h ) ,"
2,"\left\{ Q ^ { i } , Q ^ { j } \right\} = c ^ { i j } \Gamma ^ { M } C P _ { M } + C c ^ { i j } Z ,"
3,"{ \frac { d } { d s } } { \frac { 1 } { \Gamma ( - s ) } } \bigg | _ { s = 0 } = - 1 ,"
4,\hat { O } _ { 2 } ^ { r } \mid 1 > _ { ( 0 ) } = { O } _ { 2 } ^ { r } \mid 0 > _ { ( 0 ) } .
5,"I ^ { c } = \mp { \frac { \pi b \sqrt { 1 - \Lambda a ^ { 2 } } } { 2 G } } \ \ ,"
6,J _ { 2 } ( z ) \times X ^ { + } ( w ) \rightarrow 0 .
7,"{ \xi } _ { i } ^ { \ast } , { p } _ { i } ^ { \ast } , \quad i = 2 , \dots , l + 1"
8,"\delta \chi _ { \mu \nu } = i b _ { \mu \nu } , \qquad \delta b _ { \mu \nu } = 0 ."
9,F _ { a b } = { \frac { 1 } { 2 } } \epsilon _ { a b c d } F ^ { c d }
10,"2 f ^ { 2 } - 4 f ^ { 2 } - g ^ { 2 } ( 1 - \Gamma ) \, ,"
11,"h = { \frac { s \lambda } { 1 + 2 n + s N + | N | } } ,"
12,"J _ { k } = \oint p _ { k } d q _ { k } , ~ ~ k = r , ~ \theta , ~ \phi ,"
13,r _ { h } ^ { 2 } = \frac { l ^ { 2 } } { 2 } ( \sqrt { K ^ { 2 } + 4 l ^ { - 2 } \mu } - K ) .
14,"x _ { \overline { m } } = { \frac { 1 } { 2 } } ( x _ { m } + x _ { m + 1 } ) ,"
15,"S _ { i j } \left( \theta \right) = \prod _ { x , y } \left[ x , y \right] _ { \theta }"
16,"\psi _ { c } ( x ) = \gamma ^ { 1 } \psi ^ { * } ( x ) \ ,"
17,1 - \frac { 2 G M } { \rho } = ( \nabla \rho ) ^ { 2 } \equiv f
18,"j _ { H W } ( x ) = W _ { i } ( x ) T ^ { i } \; , \; T ^ { i } \in k e r ( A d ( M _ { - } ) )"
19,k _ { 0 } \sim \omega \sqrt { \frac { g \phi _ { 0 } } { 2 M ^ { 2 } } } \ll \omega
20,\Psi = \Phi R \hspace { . 1 i n } e x p \frac { i } { \hbar } S
21,\frac { \partial } { \partial T } S T \frac { \partial } { \partial T }
22,D ^ { + + } L ^ { + + } = 0 \quad \Leftrightarrow \quad ( D ^ { -- } ) ^ { 3 } L ^ { + + } = 0
23,"T \left| n \right\rangle = \left| n + 1 \, \bmod \, k \right\rangle"
24,T = \frac { 1 } { 4 \pi } \ \frac { r _ { + } - r _ { - } } { r _ { + } ^ { 2 } - \S ^ { 2 } } \ .
25,S _ { s i n g } = { \frac { \pi ^ { 2 } C } { \kappa } } .
26,"[ Q _ { \mu } , Q _ { \nu } ] = i l _ { \mathrm { P } } ^ { 2 } { \cal Q } _ { \mu , \nu }"
27,"\varphi ( \tau , \sigma ) = \varphi ( \tau , \sigma + 2 \pi )"
28,"g _ { f } ^ { 2 } = c _ { p } N g _ { s } \sqrt { \alpha ^ { \prime } } ^ { \, p - 3 } \, ."
29,{ \bf L } _ { t o t } = { \bf L } _ { 1 } + { \bf L } _ { 2 }
30,"{ \cal P } \equiv T _ { 0 } ^ { 1 } = - 2 \mathrm { T r } [ \dot { \Phi } \Phi ^ { \prime } ] \ ,"
31,"Q _ { B R S T } = c H \qquad H = \{ b , Q _ { B R S T } \} \qquad ( Q _ { B R S T } ) ^ { 2 } = 0"
32,"d s ^ { 2 } = d t ^ { 2 } - \Omega ^ { 2 } ( t ) ( d x ^ { 2 } + d y ^ { 2 } + d z ^ { 2 } ) \; ,"
33,n ^ { 3 } P _ { \mathrm { \Phi } } \propto n ^ { 2 \beta + 4 } .
34,"\delta _ { \epsilon } z ^ { \Delta } = 0 ,"
35,"s a = \partial _ { \mu } n ^ { \mu } ,"
36,\mu = \Bigl ( \frac { N } { 4 } \Bigr ) ^ { 1 / 3 } - \frac { 1 } { 2 } + . . . ~ .
37,"\frac { P ( z ) } { R ^ { 1 / 2 } ( z ) } = \frac { 1 } { z } + O ( z ^ { - 2 } ) \, ,"
38,"f _ { i } = - \alpha \, H ^ { - 5 / 4 } \, \partial _ { i } H"
39,G ( z ^ { \pm } ) = v ( x ) { \pm } i \pi \phi ( x )
40,"Z = \sum _ { n _ { q } , m } e ^ { - n _ { q } ( \omega _ { q } - m \Omega _ { 0 } ) \beta }"
41,"i m ( D _ { i } ) \subset k e r ( D _ { i + 1 } ) \; \; , \; \; \forall i = 0 , \cdots , k - 2 \; ,"
42,A ^ { ( n ) } C = C G ^ { ( n ) } .
43,"f ( x , y ) \; = \; \Phi ( x , y ) + \Phi ( x , - y ) + \Phi ( x , - y ) \Phi ( x , y ) ."
44,0 \leq \alpha \leq \frac { 1 } { 2 }
45,\operatorname { l o g } E _ { q } ( w )
46,"\delta g ^ { M N } = h ^ { M N } , \qquad \delta A _ { M } = a _ { M } ."
47,"G ^ { E } ( \omega _ { E } = 2 \pi n T , k ) = \int _ { 0 } ^ { 1 / T } d \tau \int d x"
48,"g = 1 + \sum _ { i = 1 } ^ { r } m _ { i } = \sum _ { i = 0 } ^ { r } m _ { i } ,"
49,"y ^ { 2 } = ( x - e _ { 1 } ( \tau ) ) ( x - e _ { 2 } ( \tau ) ) ( x - e _ { 3 } ( \tau ) ) ,"
50,"( a ^ { \prime } ) ^ { 2 } = \Lambda ^ { 2 } / ( { \alpha ^ { \prime } } g ) ^ { 2 } \, \, ."
51,\Delta X _ { w } \sim \Delta T \Delta _ { w } v \sim { \frac { g _ { s } } { v } } \ell _ { s }
52,"( \varphi , \theta ) \sim ( \varphi + u , \theta + \alpha ) \sim ( \varphi + v , \theta + \beta ) ."
53,"\pi ( a \circ b ) = ( \pi a ) \circ ( \pi b ) , \quad \pi ( b \circ a ) = ( \pi b ) \circ ( \pi a )"
54,"\delta | \Phi ^ { ( n ) } \rangle \ = \ \ { \cal Q } \, | \Phi ^ { ( n + 1 ) } \rangle \ ,"
55,g _ { t t } = \Big ( 1 - { \frac { 2 M _ { A D M } } { \tilde { r } } } + \cdots \Big )
56,a _ { i } = \sum _ { j } \alpha _ { j i } b _ { j } + \beta _ { j i } ^ { * } b _ { j } ^ { \dag }
57,"C _ { 1 } : \qquad Z _ { 1 } V = \mu W Z _ { 2 } , \qquad X = Y = 0 ."
58,"C | 0 \rangle = \pm | 0 \rangle \ ,"
59,"\eta = \gamma ( u ^ { * } , \theta ) = - \frac { \varepsilon \theta ^ { 2 } } { 7 2 } ."
60,g ^ { - 1 } ( L ) g ( 0 ) \to U ( 0 ) g ^ { - 1 } ( L ) g ( 0 ) U ^ { - 1 } ( 0 )
61,"\mu ( g ) B ( v ) = B ( g v ) \mu ( g ) , \qquad \mathrm { f o r ~ a l l } \quad v \in V ."
62,m = \frac { M } { 1 - \lambda M } ~ .
63,"H = \omega \sum _ { i = 1 } ^ { n } N _ { i } \; , \; \; \; N _ { i } \equiv N _ { i i } \; ."
64,X = X _ { L } + X _ { R } \rightarrow X ^ { \prime } = X _ { L } - X _ { R } .
65,"\tilde { I } _ { n } ( \mu ) = - p ^ { 2 n } \frac { i M p } { 4 \pi } ,"
66,x _ { \sigma i j } = { \frac { | E _ { i } - E _ { j } | } { E _ { i } + E _ { j } + \sigma } } .
67,\zeta = - i \frac { 1 } { 2 } \zeta ^ { 0 } - \theta [ \frac { 1 } { 2 } \zeta ^ { 1 } ]
68,"a _ { p m } | 0 > = 0 , \ \ f o r \ \forall \mathrm { \boldmath ~ p ~ } , m ."
69,"c ^ { 2 } M _ { 3 } ^ { 2 } ( E ^ { 2 } - c ^ { 4 } ) + m _ { 2 } ^ { 2 } G ^ { 2 } c ^ { 4 } < 0 ,"
70,\ldots \to 0 \to \mathcal { F } \otimes L \to 0 \to \ldots
71,"T \rightarrow \frac { A T - i B } { i C T + D } , \; A D - B C = 1 ,"
72,"\partial _ { u } \xi _ { u } - \Gamma _ { u u } ^ { \rho } \xi _ { \rho } = 0 \, ."
73,\left( - 3 i + \theta \right) \psi _ { n + 1 } + \left( 3 i + \theta \right) \psi _ { n - 1 }
74,"J _ { \mu } = - s e _ { \mu } ^ { ( 0 ) } + \gamma _ { i } e _ { \mu } ^ { ( i ) } ,"
75,"A _ { k } ^ { \alpha } ( q , u ) \, - \, A _ { k } ^ { \alpha } ( q , v ) ~ = ~ 0 ~ ."
76,"a \approx 1 + A , ~ ~ b \approx B , ~ ~ c \approx C , ~ ~ d \approx 1 + D ,"
77,\frac { n f ( r ) f ^ { ' } ( r ) } { r } = \frac { 1 } { 2 } ( 1 - f ^ { 2 } ) f .
78,\Delta \omega = 2 \kappa \Delta W + \Omega \Delta m + \Phi \Delta q .
79,F ^ { r } F ^ { r } = \frac { 1 } { 2 } \beta ^ { - 1 } W ( ^ { * } F ^ { r } ) ^ { 2 }
80,S = 1 + \frac { Q _ { 6 } g _ { \mathrm { s t r } } } { 4 \pi r } .
81,\alpha _ { i } ( x ) = \frac { 2 \pi a } { g } \epsilon _ { i j } \hat { n } _ { j } ( x )
82,2 \kappa _ { 1 1 } { } ^ { 2 } T _ { 3 } { \tilde { T } } _ { 6 } = 2 \pi n
83,C _ { 2 } = - { \frac { 1 } { 4 } } \int _ { 4 } A ^ { ( 0 ) } F \wedge F .
84,"[ X _ { S } , M _ { S } - i { \cal A } ] = i [ { \cal H } _ { C } , \, p \cdot \hat { H } ] ,"
85,"e ^ { \Phi } = e ^ { - \frac { 2 } { \alpha Q } \varphi } H ^ { - 2 \alpha / \Delta } ,"
86,"\hat { \varepsilon } ( x ^ { z } , y ^ { z } ) = \hat { \varepsilon } ( x , y )"
87,"\{ \gamma ^ { \mu } , \gamma ^ { \nu } \} = - 2 \delta ^ { \mu \nu } ,"
88,E _ { i } = D \Psi _ { i } + D B _ { i } - \partial _ { i } A .
89,"L _ { n } ( \epsilon ) = a _ { n } \, \epsilon ^ { \tau _ { n } } \;"
90,"C ( \phi ) , \; \tilde { D } ( \tilde { \phi } ) > 0"
91,"d H \; = \; - ~ \frac { i } { 3 2 \, \pi ^ { 2 } } ~ \left( F _ { A } \wedge F _ { A } \right) ~ ."
